Time_Hour,8,101,189,159,223,84,146,192,53,69,116,8A,101A,189A,159A,223A,84A,146A,192A,53A,69A,116A
17.345556,0.2251,0.2197,0.2572,0.15015,0.14135,0.2717,0.3582,0.2965,0.0722,0.23745,0.34305,0.113,0.28185,0.2601,0.1543,0.124,0.1547,0.10665,0.32185,0.12935,0.43905,0.28005
17.5125,0.22305,0.2171,0.25295,0.14785,0.13565,0.27145,0.3539,0.2949,0.0791,0.245,0.3458,0.1169,0.2808,0.26335,0.15455,0.1281,0.15075,0.10315,0.3189,0.13125,0.44545,0.28145
17.679445,0.2182,0.22085,0.25655,0.14455,0.13965,0.26645,0.3521,0.29215,0.08125,0.24305,0.34795,0.11515,0.28015,0.2593,0.1566,0.1238,0.15325,0.0998,0.31455,0.1329,0.4462,0.27915
17.846111,0.22425,0.2193,0.251,0.1449,0.13305,0.26985,0.35635,0.29305,0.07245,0.24035,0.34705,0.1158,0.2792,0.2634,0.1606,0.13215,0.1569,0.10765,0.32335,0.13295,0.44565,0.28485
18.013056,0.2192,0.2174,0.2535,0.1453,0.13835,0.26725,0.34955,0.29155,0.07555,0.24185,0.346,0.1169,0.2773,0.2606,0.15945,0.1243,0.1496,0.0971,0.31565,0.1305,0.448,0.2873
18.18,0.2202,0.2203,0.2568,0.148,0.13655,0.26485,0.3499,0.295,0.0674,0.23565,0.3454,0.11575,0.27635,0.2607,0.16295,0.1247,0.15215,0.10415,0.32195,0.1319,0.4477,0.2886
18.346667,0.22335,0.2162,0.25265,0.1423,0.1359,0.26725,0.347,0.29255,0.07185,0.2409,0.34695,0.11695,0.2778,0.26275,0.16485,0.1263,0.1519,0.0986,0.31835,0.13165,0.4497,0.2924
18.513334,0.223,0.22245,0.24915,0.1443,0.13005,0.26135,0.34675,0.28695,0.0722,0.23955,0.3476,0.12085,0.27705,0.26835,0.1678,0.1323,0.1561,0.1034,0.3193,0.13415,0.45075,0.2858
18.68,0.2157,0.218,0.25245,0.14435,0.13495,0.2681,0.3485,0.29535,0.0668,0.23435,0.3436,0.11785,0.27585,0.2624,0.16775,0.1266,0.1556,0.1052,0.3247,0.1323,0.44795,0.2919
18.846945,0.21865,0.21725,0.2524,0.1442,0.13165,0.26775,0.3478,0.29175,0.06975,0.23905,0.34655,0.12175,0.2732,0.26775,0.1714,0.12645,0.1539,0.1015,0.3218,0.1327,0.45145,0.29415
